experiment,workload,sweep,value,trace,config.cpu.frequency_ghz,config.cpu.issue_width,config.cpu.base_cpi,config.cpu.mshrs,config.l1.size_kb,config.l1.line_size,config.l1.associativity,config.l1.latency_cycles,config.l2.size_kb,config.l2.line_size,config.l2.associativity,config.l2.latency_cycles,config.memory.latency_cycles,config.memory.bandwidth_gbps,instructions,cycles,ipc,cpi,seconds,memory_instructions,dependent_loads,l1.accesses,l1.hits,l1.misses,l1.hit_rate,l1.writebacks,l1.writebacks_in,l2.accesses,l2.hits,l2.misses,l2.hit_rate,l2.writebacks,l2.writebacks_in,memory.reads,memory.writes,memory.bytes_read,memory.bytes_written,memory.queue_delay_cycles,average_memory_latency,average_outstanding_misses,achieved_bandwidth_gbps,bandwidth_utilization,compute_cycles,stall_cycles.l1,stall_cycles.l2,stall_cycles.dram,stall_cycles.bandwidth,stall_cycles.mshr,stall_cycles.total,stall_fraction,bottleneck.name,bottleneck.detail,bottleneck.suggestions,simulator.records,simulator.wall_seconds,simulator.records_per_second,stall_share.l1,stall_share.l2,stall_share.dram,stall_share.bandwidth,stall_share.mshr,stall_share.compute
associativity,sequential,l1.associativity,1,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,1,4,512.0,64.0,8.0,12.0,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000.0,0.0,125000.0,0.0,0.0,0.0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.06994836,28592521.68,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
associativity,sequential,l1.associativity,2,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,2,4,512.0,64.0,8.0,12.0,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000.0,0.0,125000.0,0.0,0.0,0.0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.042375195,47197422.93,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
associativity,sequential,l1.associativity,4,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,4,4,512.0,64.0,8.0,12.0,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000.0,0.0,125000.0,0.0,0.0,0.0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.042900492,46619511.96,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
associativity,sequential,l1.associativity,8,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512.0,64.0,8.0,12.0,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000.0,0.0,125000.0,0.0,0.0,0.0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.045522298,43934513.15,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
associativity,sequential,l1.associativity,16,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,16,4,512.0,64.0,8.0,12.0,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000.0,0.0,125000.0,0.0,0.0,0.0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.049356094,40521845.18,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
associativity,sequential,l1.associativity,32,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,32,4,512.0,64.0,8.0,12.0,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000.0,0.0,125000.0,0.0,0.0,0.0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.054933142,36407893.8,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
associativity,random_access,l1.associativity,1,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,1,4,512.0,64.0,8.0,12.0,180,50,10000000,11547952,0.8659544134,1.1547952,0.003299414857,1000000,0,1000000,4041,995959,0.004041,0,0,995959.0,61050.0,934909.0,0.06129770402,0.0,0.0,934909,0,59834176,0,409026,184.644154,15.98794228,18.13478407,0.3626956815,2500000,0,0,193,3634,9044125,9047952,0.7835113967,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.111117727,17998928.29,0.0,0.0,1.6712920178400465e-05,0.00031468783382542637,0.7831799958988399,0.21648860334715628
associativity,random_access,l1.associativity,2,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,2,4,512.0,64.0,8.0,12.0,180,50,10000000,11547612,0.86597991,1.1547612,0.003299317714,1000000,0,1000000,4094,995906,0.004094,0,0,995906.0,60998.0,934908.0,0.06124875239,0.0,0.0,934908,0,59834112,0,405234,184.639546,15.98799561,18.13529862,0.3627059725,2500000,0,0,195,3466,9043951,9047612,0.7835050225,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.13841103,14449715.46,0.0,0.0,1.688660824419802e-05,0.00030014863679174534,0.7831879872652459,0.21649497748971822
associativity,random_access,l1.associativity,4,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,4,4,512.0,64.0,8.0,12.0,180,50,10000000,11547663,0.8659760854,1.1547663,0.003299332286,1000000,0,1000000,4104,995896,0.004104,0,0,995896.0,60990.0,934906.0,0.06124133444,0.0,0.0,934906,0,59833984,0,406895,184.640727,15.98802381,18.13517973,0.3627035947,2500000,0,0,193,3652,9043818,9047663,0.7835059787,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.12494621,16006888.08,0.0,0.0,1.6713338447788093e-05,0.0003162544663799073,0.783173010850767,0.21649402134440535
associativity,random_access,l1.associativity,8,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,8,4,512.0,64.0,8.0,12.0,180,50,10000000,11547938,0.8659554632,1.1547938,0.003299410857,1000000,0,1000000,4075,995925,0.004075,0,0,995925.0,61021.0,934904.0,0.06127067801,0.0,0.0,934904,0,59833856,0,409279,184.643099,15.98785853,18.13470907,0.3626941814,2500000,0,0,195,3443,9044300,9047938,0.7835111342,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.132215469,15126823.02,0.0,0.0,1.6886131532746365e-05,0.00029814846598587557,0.7831960995980408,0.21648886580444057
