experiment,workload,sweep,value,trace,config.cpu.frequency_ghz,config.cpu.issue_width,config.cpu.base_cpi,config.cpu.mshrs,config.l1.size_kb,config.l1.line_size,config.l1.associativity,config.l1.latency_cycles,config.l2.size_kb,config.l2.line_size,config.l2.associativity,config.l2.latency_cycles,config.memory.latency_cycles,config.memory.bandwidth_gbps,instructions,cycles,ipc,cpi,seconds,memory_instructions,dependent_loads,l1.accesses,l1.hits,l1.misses,l1.hit_rate,l1.writebacks,l1.writebacks_in,l2.accesses,l2.hits,l2.misses,l2.hit_rate,l2.writebacks,l2.writebacks_in,memory.reads,memory.writes,memory.bytes_read,memory.bytes_written,memory.queue_delay_cycles,average_memory_latency,average_outstanding_misses,achieved_bandwidth_gbps,bandwidth_utilization,compute_cycles,stall_cycles.l1,stall_cycles.l2,stall_cycles.dram,stall_cycles.bandwidth,stall_cycles.mshr,stall_cycles.total,stall_fraction,bottleneck.name,bottleneck.detail,bottleneck.suggestions,simulator.records,simulator.wall_seconds,simulator.records_per_second,stall_share.l1,stall_share.l2,stall_share.dram,stall_share.bandwidth,stall_share.mshr,stall_share.compute
l2_capacity,matrix_naive,l2.size_kb,256,/workspace/traces/matrix_naive.trace,3.5,4,0,16,32,64,8,4,256,64,8,12,180,50,35463168,18908987,1.875466306,0.5332007281,0.005402567714,14229504,0,14229504,6990648,7238856,0.491278403,36856,0,7238856,6344904,893952,0.8765064535,4584,36856,893952,4584,57212928,293376,3761632,21.66871537,14.82747225,10.64425418,0.2128850837,8865792,0,16,0,45916,9997263,10043195,0.5311334235,Memory-level parallelism,Waiting for a free MSHR costs 52% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,21307392,1.047787904,20335596.47,0.0,8.461584959575042e-07,0.0,0.002428263343774048,0.5287043139857254,0.4688665765120046
l2_capacity,matrix_naive,l2.size_kb,512,/workspace/traces/matrix_naive.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,50,35463168,8964365,3.956015624,0.2527795881,0.002561247143,14229504,0,14229504,6990648,7238856,0.491278403,36856,0,7238856,7225032,13824,0.998090306,2896,36856,13824,2896,884736,185344,80086,10.28098042,13.20011624,0.4177964641,0.008355929282,8865792,0,16,0,219,98338,98573,0.01099609398,Compute,Memory stalls account for only 1% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21307392,0.982430829,21688439.91,0.0,1.7848447714924594e-06,0.0,2.4430062809803038e-05,0.010969879071189091,0.9890039060212296
l2_capacity,matrix_naive,l2.size_kb,1024,/workspace/traces/matrix_naive.trace,3.5,4,0,16,32,64,8,4,1024,64,8,12,180,50,35463168,8964323,3.956034159,0.2527784038,0.002561235143,14229504,0,14229504,6990648,7238856,0.491278403,36856,0,7238856,7225032,13824,0.998090306,0,36856,13824,0,884736,0,19548,10.2809034,13.20005582,0.3454333361,0.006908666723,8865792,0,16,0,219,98296,98531,0.01099146026,Compute,Memory stalls account for only 1% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21307392,0.95907109,22216697.2,0.0,1.7848531339176422e-06,0.0,2.4430177270497728e-05,0.010965245228223034,0.9890085397413726
l2_capacity,matrix_naive,l2.size_kb,2048,/workspace/traces/matrix_naive.trace,3.5,4,0,16,32,64,8,4,2048,64,8,12,180,50,35463168,8964323,3.956034159,0.2527784038,0.002561235143,14229504,0,14229504,6990648,7238856,0.491278403,36856,0,7238856,7225032,13824,0.998090306,0,36856,13824,0,884736,0,19548,10.2809034,13.20005582,0.3454333361,0.006908666723,8865792,0,16,0,219,98296,98531,0.01099146026,Compute,Memory stalls account for only 1% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21307392,0.947504361,22487909.16,0.0,1.7848531339176422e-06,0.0,2.4430177270497728e-05,0.010965245228223034,0.9890085397413726
l2_capacity,matrix_naive,l2.size_kb,4096,/workspace/traces/matrix_naive.trace,3.5,4,0,16,32,64,8,4,4096,64,8,12,180,50,35463168,8964323,3.956034159,0.2527784038,0.002561235143,14229504,0,14229504,6990648,7238856,0.491278403,36856,0,7238856,7225032,13824,0.998090306,0,36856,13824,0,884736,0,19548,10.2809034,13.20005582,0.3454333361,0.006908666723,8865792,0,16,0,219,98296,98531,0.01099146026,Compute,Memory stalls account for only 1% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21307392,0.926197542,23005234.88,0.0,1.7848531339176422e-06,0.0,2.4430177270497728e-05,0.010965245228223034,0.9890085397413726
l2_capacity,matrix_blocked,l2.size_kb,64,/workspace/traces/matrix_blocked.trace,3.5,4,0,16,32,64,8,4,64,64,8,12,180,50,35831808,9198246,3.895504426,0.2567061645,0.002628070286,14598144,0,14598144,14515740,82404,0.9943551728,27044,0,82404,24036,58368,0.2916848697,4352,27044,58368,4352,3735552,278528,639926,4.819176808,1.335915239,1.527386852,0.03054773704,8957952,0,0,0,5224,235070,240294,0.02612389362,Compute,Memory stalls account for only 2% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21676032,0.523194723,41430142.64,0.0,0.0,0.0,0.0005679343648778256,0.025555959255710272,0.9738761063794119
l2_capacity,matrix_blocked,l2.size_kb,128,/workspace/traces/matrix_blocked.trace,3.5,4,0,16,32,64,8,4,128,64,8,12,180,50,35831808,9188639,3.899577293,0.2564380508,0.002625325429,14598144,0,14598144,14515740,82404,0.9943551728,27044,0,82404,39328,43076,0.4772583855,4352,27044,43076,4352,2756864,278528,675628,4.630557898,1.037649972,1.156196473,0.02312392945,8957952,0,0,0,6204,224483,230687,0.02510567669,Compute,Memory stalls account for only 2% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21676032,0.528095275,41045684.42,0.0,0.0,0.0,0.0006751816019760924,0.024430495092907664,0.9748943233051163
l2_capacity,matrix_blocked,l2.size_kb,256,/workspace/traces/matrix_blocked.trace,3.5,4,0,16,32,64,8,4,256,64,8,12,180,50,35831808,9183305,3.901842311,0.2562891886,0.002623801429,14598144,0,14598144,14515740,82404,0.9943551728,27044,0,82404,45540,36864,0.5526430756,4008,27044,36864,4008,2359296,256512,666981,4.555677283,0.9192194967,0.9969534933,0.01993906987,8957952,0,0,0,5856,219497,225353,0.02453942235,Compute,Memory stalls account for only 2% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21676032,0.521535543,41561945.86,0.0,0.0,0.0,0.0006376789184286049,0.02390174343550606,0.9754605776460653
l2_capacity,matrix_blocked,l2.size_kb,512,/workspace/traces/matrix_blocked.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,50,35831808,9008983,3.977342171,0.2514241816,0.002573995143,14598144,0,14598144,14515740,82404,0.9943551728,27044,0,82404,66396,16008,0.8057375856,2984,27044,16008,2984,1024512,190976,200647,4.273249257,0.4793602119,0.4722184513,0.009444369026,8957952,0,0,0,653,50378,51031,0.005664457353,Compute,Memory stalls account for only 0% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21676032,0.519384316,41734090.41,0.0,0.0,0.0,7.248320925902514e-05,0.005591974144029354,0.9943355426467116
l2_capacity,matrix_blocked,l2.size_kb,1024,/workspace/traces/matrix_blocked.trace,3.5,4,0,16,32,64,8,4,1024,64,8,12,180,50,35831808,8994398,3.983791689,0.251017141,0.002569828,14598144,0,14598144,14515740,82404,0.9943551728,27044,0,82404,68580,13824,0.8322411533,0,27044,13824,0,884736,0,64463,4.242608307,0.4304064597,0.3442782941,0.006885565882,8957952,0,0,0,583,35863,36446,0.004052077749,Compute,Memory stalls account for only 0% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21676032,0.518049844,41841595.46,0.0,0.0,0.0,6.481812345862391e-05,0.003987259625380153,0.9959479222511612
l2_capacity,matrix_blocked,l2.size_kb,2048,/workspace/traces/matrix_blocked.trace,3.5,4,0,16,32,64,8,4,2048,64,8,12,180,50,35831808,8994398,3.983791689,0.251017141,0.002569828,14598144,0,14598144,14515740,82404,0.9943551728,27044,0,82404,68580,13824,0.8322411533,0,27044,13824,0,884736,0,64463,4.242608307,0.4304064597,0.3442782941,0.006885565882,8957952,0,0,0,583,35863,36446,0.004052077749,Compute,Memory stalls account for only 0% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21676032,0.513868242,42182081.37,0.0,0.0,0.0,6.481812345862391e-05,0.003987259625380153,0.9959479222511612
l2_capacity,matrix_blocked,l2.size_kb,4096,/workspace/traces/matrix_blocked.trace,3.5,4,0,16,32,64,8,4,4096,64,8,12,180,50,35831808,8994398,3.983791689,0.251017141,0.002569828,14598144,0,14598144,14515740,82404,0.9943551728,27044,0,82404,68580,13824,0.8322411533,0,27044,13824,0,884736,0,64463,4.242608307,0.4304064597,0.3442782941,0.006885565882,8957952,0,0,0,583,35863,36446,0.004052077749,Compute,Memory stalls account for only 0% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),21676032,0.516277777,41985212.16,0.0,0.0,0.0,6.481812345862391e-05,0.003987259625380153,0.9959479222511612
